Length,Height,Weight,Age
0.57,0.18,0.908,Adult
0.57,0.16,0.811,Adult
0.575,0.15,0.897,Adult
0.585,0.15,0.938,Adult
0.585,0.14,0.6955,Adult
0.59,0.16,1.0115,Adult
0.595,0.15,1.1005,Adult
0.605,0.15,1.079,Adult
0.615,0.17,1.055,Adult
0.615,0.155,1.084,Adult
0.625,0.155,1.115,Adult
0.645,0.18,1.285,Adult
0.65,0.175,1.2895,Adult
0.65,0.155,1.122,Adult
0.665,0.165,1.349,Adult
0.675,0.19,1.551,Adult
0.725,0.19,1.7315,Adult
0.74,0.22,2.012,Adult
0.515,0.135,0.516,Adult
0.525,0.15,0.7055,Adult
0.545,0.15,0.9475,Adult
0.555,0.175,1.1465,Adult
0.57,0.155,1.017,Adult
0.575,0.155,0.8975,Adult
0.58,0.145,0.9865,Adult
0.58,0.15,0.844,Adult
0.585,0.13,0.8755,Adult
0.61,0.13,0.8725,Adult
0.615,0.15,1.0265,Adult
0.62,0.14,1.1605,Adult
0.62,0.165,1.0125,Adult
0.63,0.155,1.0005,Adult
0.64,0.17,1.2265,Adult
0.66,0.19,1.4045,Adult
0.66,0.2,1.463,Adult
0.675,0.17,1.711,Adult
0.705,0.205,1.757,Adult
0.525,0.135,0.8435,Adult
0.54,0.14,0.8035,Adult
0.54,0.15,0.8115,Adult
0.57,0.13,0.782,Adult
0.58,0.135,0.95,Adult
0.59,0.15,0.976,Adult
0.62,0.17,1.1045,Adult
0.625,0.16,1.254,Adult
0.635,0.185,1.286,Adult
0.645,0.16,1.1665,Adult
0.645,0.16,1.144,Adult
0.65,0.19,1.385,Adult
0.655,0.155,1.309,Adult
0.655,0.17,1.527,Adult
0.72,0.18,1.719,Adult
0.72,0.18,1.52,Adult
0.72,0.17,1.613,Adult
0.465,0.11,0.4085,Adult
0.535,0.125,0.8725,Adult
0.55,0.14,0.745,Adult
0.575,0.15,0.8765,Adult
0.58,0.17,0.9705,Adult
0.58,0.15,0.92,Adult
0.58,0.125,0.7855,Adult
0.6,0.17,1.056,Adult
0.6,0.15,0.9625,Adult
0.605,0.17,1.0915,Adult
0.61,0.195,1.2735,Adult
0.615,0.175,1.194,Adult
0.615,0.135,1.1215,Adult
0.615,0.165,1.198,Adult
0.62,0.15,0.9545,Adult
0.625,0.16,1.217,Adult
0.625,0.145,0.92,Adult
0.63,0.165,1.2615,Adult
0.63,0.185,1.167,Adult
0.635,0.19,1.3765,Adult
0.635,0.19,1.29,Adult
0.645,0.15,1.151,Adult
0.645,0.17,1.197,Adult
0.65,0.2,1.6645,Adult
0.655,0.205,1.528,Adult
0.655,0.2,1.494,Adult
0.66,0.16,1.277,Adult
0.66,0.18,1.5965,Adult
0.665,0.175,1.3805,Adult
0.67,0.19,1.527,Adult
0.68,0.17,1.3435,Adult
0.505,0.13,0.693,Adult
0.51,0.21,1.183,Adult
0.525,0.135,0.7905,Adult
0.535,0.15,1.224,Adult
0.59,0.14,1.007,Adult
0.595,0.21,1.5245,Adult
0.62,0.17,1.148,Adult
0.625,0.11,1.136,Adult
0.635,0.17,1.2235,Adult
0.635,0.18,1.3695,Adult
0.655,0.175,1.2905,Adult
0.67,0.17,1.4265,Adult
0.75,0.205,2.2635,Adult
0.57,0.14,0.871,Adult
0.58,0.155,0.8785,Adult
0.595,0.16,0.921,Adult
0.6,0.14,0.869,Adult
0.61,0.16,1.089,Adult
0.625,0.155,1.1635,Adult
0.635,0.165,1.251,Adult
0.635,0.155,1.145,Adult
0.64,0.145,1.1335,Adult
0.64,0.15,1.2015,Adult
0.655,0.16,1.204,Adult
0.655,0.17,1.2895,Adult
0.66,0.18,1.5175,Adult
0.68,0.185,1.494,Adult
0.68,0.195,1.664,Adult
0.695,0.2,1.5855,Adult
0.7,0.22,1.666,Adult
0.73,0.205,1.908,Adult
0.755,0.2,2.073,Adult
0.52,0.15,0.728,Adult
0.53,0.115,0.5685,Adult
0.55,0.15,0.655,Adult
0.47,0.1,0.4705,Adult
0.525,0.135,0.714,Adult
0.525,0.13,0.6995,Adult
0.55,0.14,0.952,Adult
0.575,0.135,0.8285,Adult
0.62,0.155,1.1945,Adult
0.63,0.19,1.1655,Adult
0.63,0.17,1.2155,Adult
0.685,0.17,1.5105,Adult
0.485,0.1,0.5565,Adult
0.625,0.2,1.3235,Adult
0.645,0.18,1.2785,Adult
0.71,0.195,1.8745,Adult
0.7,0.215,1.978,Adult
0.655,0.165,1.367,Adult
0.665,0.175,1.742,Adult
0.47,0.105,0.513,Adult
0.43,0.09,0.397,Adult
0.34,0.085,0.204,Adult
0.335,0.07,0.17,Adult
0.55,0.125,0.765,Adult
0.64,0.19,1.151,Adult
0.545,0.115,0.6765,Adult
0.64,0.175,1.571,Adult
0.57,0.155,0.872,Adult
0.505,0.18,0.606,Adult
0.49,0.13,0.539,Adult
0.505,0.135,0.657,Adult
0.37,0.1,0.2685,Adult
0.67,0.175,1.707,Adult
0.59,0.15,0.8805,Adult
0.47,0.11,0.4965,Adult
0.51,0.135,0.632,Adult
0.525,0.115,0.72,Adult
0.61,0.16,1.017,Adult
0.545,0.175,0.98,Adult
0.49,0.155,0.578,Adult
0.505,0.16,0.6835,Adult
0.385,0.1,0.2725,Adult
0.62,0.22,1.511,Adult
0.635,0.185,1.3035,Adult
0.665,0.185,1.3955,Adult
0.6,0.165,1.1345,Adult
0.585,0.17,1.0835,Adult
0.555,0.14,0.868,Adult
0.57,0.16,1.0915,Adult
0.62,0.175,1.271,Adult
0.64,0.19,1.2355,Adult
0.42,0.13,0.4135,Adult
0.45,0.135,0.56,Adult
0.64,0.19,1.2765,Adult
0.61,0.19,1.2955,Adult
0.59,0.205,1.2315,Adult
0.69,0.185,1.5715,Adult
0.655,0.16,1.092,Adult
0.69,0.205,1.8165,Adult
0.695,0.16,1.6365,Adult
0.61,0.19,1.213,Adult
0.435,0.125,0.459,Adult
0.435,0.105,0.4195,Adult
0.575,0.15,0.8745,Adult
0.56,0.125,0.8775,Adult
0.645,0.19,1.3105,Adult
0.595,0.145,1.2515,Adult
0.655,0.14,1.1705,Adult
0.495,0.135,0.6625,Adult
0.4,0.115,0.4335,Adult
0.595,0.145,1.107,Adult
0.625,0.13,0.8595,Adult
0.475,0.14,0.501,Adult
0.5,0.14,0.6735,Adult
0.465,0.14,0.5555,Adult
0.655,0.19,1.428,Adult
0.58,0.165,1.0385,Adult
0.59,0.155,0.9715,Adult
0.665,0.185,1.522,Adult
0.62,0.175,1.1255,Adult
0.605,0.145,1.0185,Adult
0.51,0.12,0.6175,Adult
0.495,0.15,0.597,Adult
0.63,0.16,1.22,Adult
0.605,0.165,1.0735,Adult
0.62,0.175,1.146,Adult
0.615,0.205,1.1055,Adult
0.66,0.19,1.67,Adult
0.71,0.175,1.555,Adult
0.565,0.185,0.9285,Adult
0.57,0.14,0.8085,Adult
0.45,0.135,0.438,Adult
0.62,0.165,1.166,Adult
0.48,0.135,0.507,Adult
0.505,0.15,0.6345,Adult
0.705,0.2,1.4685,Adult
0.535,0.155,0.7765,Adult
0.48,0.13,0.5885,Adult
0.395,0.105,0.3375,Adult
0.545,0.15,0.6855,Adult
0.385,0.125,0.314,Adult
0.51,0.18,0.7005,Adult
0.425,0.135,0.382,Adult
0.45,0.125,0.4435,Adult
0.685,0.175,1.71,Adult
0.585,0.185,0.8575,Adult
0.49,0.135,0.59,Adult
0.455,0.11,0.385,Adult
0.48,0.145,0.59,Adult
0.51,0.13,0.584,Adult
0.52,0.145,0.829,Adult
0.455,0.11,0.4385,Adult
0.58,0.175,1.073,Adult
0.475,0.125,0.588,Adult
0.46,0.15,0.5325,Adult
0.305,0.07,0.1485,Adult
0.475,0.115,0.487,Adult
0.605,0.165,1.2225,Adult
0.475,0.15,0.559,Adult
0.46,0.115,0.44,Adult
0.49,0.105,0.5265,Adult
0.56,0.16,1.0315,Adult
0.58,0.18,1.2495,Adult
0.595,0.165,1.148,Adult
0.63,0.15,1.172,Adult
0.65,0.185,1.5055,Adult
0.465,0.115,0.4705,Adult
0.49,0.115,0.569,Adult
0.505,0.12,0.5725,Adult
0.525,0.125,0.7115,Adult
0.555,0.145,0.8815,Adult
0.555,0.11,0.931,Adult
0.575,0.165,1.065,Adult
0.61,0.16,1.234,Adult
0.61,0.175,1.2635,Adult
0.61,0.16,1.0745,Adult
0.625,0.16,1.1115,Adult
0.625,0.17,1.255,Adult
0.64,0.195,1.1435,Adult
0.665,0.165,1.6885,Adult
0.715,0.23,2.0725,Adult
0.725,0.185,1.523,Adult
0.505,0.16,1.1155,Adult
0.53,0.14,0.627,Adult
0.555,0.135,0.812,Adult
0.585,0.145,0.9835,Adult
0.595,0.165,1.0155,Adult
0.615,0.19,1.1345,Adult
0.62,0.18,1.233,Adult
0.64,0.165,1.1635,Adult
0.64,0.175,1.1545,Adult
0.645,0.175,1.3345,Adult
0.655,0.175,1.5585,Adult
0.66,0.175,1.3275,Adult
0.69,0.19,1.492,Adult
0.7,0.2,1.7365,Adult
0.7,0.175,1.6605,Adult
0.72,0.185,1.7185,Adult
0.495,0.12,0.594,Adult
0.565,0.175,1.2365,Adult
0.57,0.16,0.8875,Adult
0.575,0.16,0.895,Adult
0.585,0.165,0.9355,Adult
0.585,0.165,1.058,Adult
0.595,0.145,0.7955,Adult
0.6,0.17,1.0805,Adult
0.6,0.155,1.059,Adult
0.6,0.17,1.088,Adult
0.6,0.145,0.776,Adult
0.62,0.165,1.043,Adult
0.625,0.16,1.3335,Adult
0.625,0.175,1.273,Adult
0.65,0.195,1.6275,Adult
0.65,0.165,1.3875,Adult
0.655,0.165,1.2835,Adult
0.66,0.155,1.3765,Adult
0.51,0.11,0.5805,Adult
0.555,0.12,0.913,Adult
0.59,0.17,1.0425,Adult
0.61,0.17,1.3475,Adult
0.64,0.17,1.12,Adult
0.64,0.17,1.2645,Adult
0.655,0.17,1.275,Adult
0.665,0.175,1.4355,Adult
0.67,0.195,1.42,Adult
0.735,0.225,2.037,Adult
0.525,0.14,0.8735,Adult
0.545,0.125,0.654,Adult
0.585,0.155,1.034,Adult
0.585,0.145,0.9855,Adult
0.595,0.135,0.964,Adult
0.595,0.155,1.0455,Adult
0.595,0.165,1.081,Adult
0.6,0.16,1.122,Adult
0.605,0.15,1.1345,Adult
0.61,0.165,1.0835,Adult
0.625,0.135,1.3025,Adult
0.63,0.195,1.306,Adult
0.65,0.195,1.281,Adult
0.65,0.175,1.35,Adult
0.66,0.17,1.431,Adult
0.665,0.195,1.764,Adult
0.67,0.155,1.278,Adult
0.67,0.2,1.46,Adult
0.675,0.185,1.5575,Adult
0.675,0.195,1.4985,Adult
0.705,0.17,1.564,Adult
0.725,0.185,1.792,Adult
0.38,0.115,0.6475,Adult
0.485,0.15,0.9145,Adult
0.55,0.18,1.1655,Adult
0.575,0.19,1.764,Adult
0.635,0.17,1.2635,Adult
0.65,0.165,1.238,Adult
0.65,0.17,1.4045,Adult
0.67,0.195,1.37,Adult
0.695,0.205,1.8185,Adult
0.705,0.195,1.7525,Adult
0.555,0.14,0.846,Adult
0.56,0.145,0.898,Adult
0.575,0.15,0.927,Adult
0.585,0.155,0.9845,Adult
0.62,0.175,1.107,Adult
0.63,0.15,1.072,Adult
0.645,0.155,1.129,Adult
0.65,0.175,1.2075,Adult
0.65,0.175,1.227,Adult
0.655,0.175,1.472,Adult
0.665,0.18,1.5785,Adult
0.675,0.21,1.593,Adult
0.695,0.175,1.361,Adult
0.705,0.17,1.4575,Adult
0.45,0.115,0.5885,Adult
0.52,0.135,0.5375,Adult
0.61,0.17,1.137,Adult
0.605,0.175,1.1685,Adult
0.615,0.135,1.059,Adult
0.68,0.185,1.541,Adult
0.71,0.17,1.47,Adult
0.545,0.175,0.754,Adult
0.46,0.115,0.4485,Adult
0.425,0.1,0.4425,Adult
0.53,0.145,0.8255,Adult
0.615,0.145,0.9525,Adult
0.675,0.22,1.604,Adult
0.375,0.11,0.3005,Adult
0.57,0.155,0.9685,Adult
0.485,0.155,0.731,Adult
0.565,0.165,0.9765,Adult
0.57,0.19,1.018,Adult
0.55,0.15,1.082,Adult
0.63,0.175,1.423,Adult
0.655,0.18,1.4155,Adult
0.525,0.165,0.717,Adult
0.5,0.13,0.6355,Adult
0.44,0.135,0.3975,Adult
0.49,0.16,0.656,Adult
0.45,0.11,0.447,Adult
0.515,0.115,0.578,Adult
0.525,0.15,0.708,Adult
0.645,0.225,1.626,Adult
0.61,0.17,1.1775,Adult
0.565,0.13,1.058,Adult
0.67,0.16,1.5415,Adult
0.46,0.12,0.4915,Adult
0.56,0.155,0.9705,Adult
0.575,0.1,0.9315,Adult
0.56,0.18,0.97,Adult
0.5,0.15,0.8085,Adult
0.595,0.18,1.053,Adult
0.615,0.165,1.1765,Adult
0.565,0.15,0.8765,Adult
0.525,0.125,0.813,Adult
0.455,0.125,0.458,Adult
0.52,0.16,0.712,Adult
0.645,0.19,1.3065,Adult
0.5,0.165,0.7105,Adult
0.47,0.115,0.487,Adult
0.65,0.215,1.498,Adult
0.67,0.185,1.597,Adult
0.49,0.115,0.541,Adult
0.475,0.115,0.541,Adult
0.35,0.065,0.205,Adult
0.54,0.16,1.0905,Adult
0.525,0.115,0.6295,Adult
0.53,0.165,0.772,Adult
0.525,0.15,0.7155,Adult
0.53,0.13,0.717,Adult
0.465,0.11,0.6355,Adult
0.515,0.14,0.686,Adult
0.555,0.155,1.016,Adult
0.61,0.18,1.438,Adult
0.68,0.19,1.807,Adult
0.72,0.195,2.1505,Adult
0.525,0.115,0.7745,Adult
0.585,0.125,0.874,Adult
0.645,0.17,1.37,Adult
0.655,0.185,1.759,Adult
0.67,0.195,1.8065,Adult
0.555,0.14,0.7545,Adult
0.585,0.15,1.0035,Adult
0.62,0.14,1.011,Adult
0.64,0.175,1.382,Adult
0.68,0.175,1.473,Adult
0.69,0.195,1.658,Adult
0.575,0.12,0.9585,Adult
0.575,0.165,0.9575,Adult
0.58,0.135,0.926,Adult
0.58,0.155,0.873,Adult
0.625,0.16,1.234,Adult
0.625,0.165,1.2255,Adult
0.635,0.18,1.2565,Adult
0.645,0.15,1.159,Adult
0.69,0.185,1.826,Adult
0.695,0.185,1.7715,Adult
0.63,0.16,1.336,Adult
0.64,0.18,1.36,Adult
0.575,0.17,1.1,Adult
0.625,0.19,1.7015,Adult
0.635,0.155,1.073,Adult
0.635,0.175,1.477,Adult
0.65,0.16,1.3105,Adult
0.675,0.175,1.494,Adult
0.675,0.15,1.1965,Adult
0.71,0.175,1.907,Adult
0.715,0.18,1.79,Adult
0.72,0.205,1.7495,Adult
0.56,0.18,1.6645,Adult
0.57,0.15,0.9645,Adult
0.605,0.155,1.1,Adult
0.64,0.175,1.3185,Adult
0.595,0.14,0.914,Adult
0.6,0.17,1.13,Adult
0.615,0.155,1.0805,Adult
0.635,0.175,1.2355,Adult
0.645,0.19,1.2395,Adult
0.65,0.165,1.357,Adult
0.655,0.22,1.359,Adult
0.56,0.135,0.8025,Adult
0.585,0.165,1.053,Adult
0.585,0.17,0.9945,Adult
0.515,0.125,0.615,Adult
0.565,0.165,0.887,Adult
0.625,0.15,1.0945,Adult
0.33,0.08,0.205,Infant
0.425,0.095,0.3515,Infant
0.355,0.085,0.2905,Infant
0.38,0.1,0.2255,Infant
0.24,0.045,0.07,Infant
0.205,0.055,0.042,Infant
0.21,0.05,0.042,Infant
0.39,0.095,0.203,Infant
0.325,0.07,0.161,Infant
0.52,0.12,0.595,Infant
0.245,0.06,0.086,Infant
0.31,0.07,0.151,Infant
0.36,0.095,0.2315,Infant
0.435,0.08,0.3325,Infant
0.385,0.085,0.2535,Infant
0.36,0.08,0.1755,Infant
0.27,0.06,0.073,Infant
0.375,0.09,0.238,Infant
0.385,0.085,0.2505,Infant
0.35,0.095,0.211,Infant
0.265,0.065,0.0975,Infant
0.28,0.08,0.127,Infant
0.175,0.055,0.0315,Infant
0.17,0.095,0.03,Infant
0.235,0.04,0.048,Infant
0.36,0.09,0.1785,Infant
0.315,0.06,0.125,Infant
0.315,0.085,0.1435,Infant
0.225,0.045,0.0465,Infant
0.355,0.085,0.22,Infant
0.4,0.11,0.315,Infant
0.435,0.11,0.3795,Infant
0.37,0.095,0.2655,Infant
0.405,0.12,0.324,Infant
0.425,0.105,0.3265,Infant
0.365,0.085,0.205,Infant
0.275,0.075,0.1155,Infant
0.44,0.135,0.435,Infant
0.295,0.08,0.124,Infant
0.075,0.01,0.002,Infant
0.13,0.03,0.013,Infant
0.11,0.03,0.008,Infant
0.16,0.035,0.021,Infant
0.27,0.07,0.1,Infant
0.23,0.065,0.0645,Infant
0.3,0.08,0.1275,Infant
0.33,0.085,0.1655,Infant
0.35,0.085,0.174,Infant
0.32,0.08,0.1585,Infant
0.36,0.085,0.1975,Infant
0.305,0.075,0.156,Infant
0.345,0.11,0.2135,Infant
0.33,0.105,0.1715,Infant
0.245,0.06,0.095,Infant
0.36,0.105,0.2415,Infant
0.295,0.085,0.128,Infant
0.275,0.075,0.1105,Infant
0.28,0.085,0.1065,Infant
0.2,0.06,0.037,Infant
0.165,0.03,0.0215,Infant
0.45,0.11,0.4585,Infant
0.33,0.095,0.172,Infant
0.265,0.06,0.0965,Infant
0.19,0.04,0.038,Infant
0.265,0.07,0.1055,Infant
0.355,0.09,0.251,Infant
0.32,0.1,0.1755,Infant
0.36,0.09,0.2255,Infant
0.3,0.08,0.121,Infant
0.235,0.04,0.0705,Infant
0.34,0.08,0.2,Infant
0.375,0.115,0.2715,Infant
0.465,0.12,0.471,Infant
0.415,0.1,0.3215,Infant
0.365,0.095,0.25,Infant
0.345,0.095,0.1995,Infant
0.39,0.1,0.302,Infant
0.44,0.12,0.365,Infant
0.49,0.12,0.529,Infant
0.29,0.07,0.101,Infant
0.26,0.07,0.092,Infant
0.44,0.1,0.366,Infant
0.36,0.095,0.217,Infant
0.385,0.095,0.252,Infant
0.36,0.11,0.2335,Infant
0.335,0.1,0.192,Infant
0.395,0.1,0.2715,Infant
0.36,0.105,0.199,Infant
0.415,0.11,0.2965,Infant
0.24,0.07,0.0715,Infant
0.22,0.055,0.0545,Infant
0.255,0.07,0.0735,Infant
0.175,0.05,0.0235,Infant
0.43,0.12,0.3575,Infant
0.56,0.155,0.8735,Infant
0.68,0.185,1.1095,Infant
0.365,0.115,0.218,Infant
0.53,0.185,0.752,Infant
0.47,0.12,0.4705,Infant
0.47,0.14,0.4985,Infant
0.465,0.13,0.454,Infant
0.52,0.14,0.5775,Infant
0.555,0.18,0.875,Infant
0.65,0.16,1.1625,Infant
0.615,0.155,0.9885,Infant
0.56,0.165,0.8,Infant
0.48,0.12,0.514,Infant
0.485,0.125,0.591,Infant
0.5,0.15,0.6265,Infant
0.525,0.15,0.795,Infant
0.52,0.145,0.66,Infant
0.515,0.12,0.659,Infant
0.485,0.13,0.581,Infant
0.435,0.125,0.406,Infant
0.45,0.14,0.474,Infant
0.45,0.135,0.443,Infant
0.61,0.15,0.9665,Infant
0.56,0.14,0.9175,Infant
0.58,0.15,0.8865,Infant
0.55,0.15,0.806,Infant
0.46,0.14,0.4935,Infant
0.495,0.125,0.6655,Infant
0.52,0.17,0.6805,Infant
0.51,0.15,0.745,Infant
0.525,0.175,0.874,Infant
0.575,0.18,0.8525,Infant
0.605,0.14,0.939,Infant
0.605,0.145,1.054,Infant
0.535,0.145,0.926,Infant
0.47,0.115,0.4885,Infant
0.515,0.14,0.5555,Infant
0.425,0.125,0.425,Infant
0.485,0.13,0.458,Infant
0.495,0.125,0.4775,Infant
0.45,0.145,0.525,Infant
0.485,0.14,0.673,Infant
0.465,0.105,0.498,Infant
0.53,0.145,0.944,Infant
0.475,0.115,0.49,Infant
0.47,0.13,0.5225,Infant
0.44,0.12,0.487,Infant
0.62,0.18,1.1785,Infant
0.445,0.12,0.347,Infant
0.46,0.12,0.4885,Infant
0.335,0.09,0.1665,Infant
0.47,0.13,0.466,Infant
0.58,0.195,1.3165,Infant
0.65,0.18,1.626,Infant
0.535,0.17,0.781,Infant
0.45,0.12,0.412,Infant
0.37,0.1,0.2295,Infant
0.255,0.075,0.0865,Infant
0.165,0.02,0.019,Infant
0.315,0.09,0.1285,Infant
0.155,0.05,0.0175,Infant
0.295,0.09,0.1105,Infant
0.325,0.08,0.176,Infant
0.28,0.055,0.1135,Infant
0.275,0.065,0.1035,Infant
0.29,0.07,0.0975,Infant
0.25,0.06,0.0765,Infant
0.18,0.035,0.0265,Infant
0.15,0.025,0.015,Infant
0.16,0.025,0.018,Infant
0.485,0.14,0.521,Infant
0.385,0.125,0.244,Infant
0.215,0.06,0.0525,Infant
0.37,0.1,0.22,Infant
0.28,0.07,0.1015,Infant
0.235,0.055,0.067,Infant
0.255,0.06,0.088,Infant
0.315,0.085,0.1715,Infant
0.325,0.08,0.1735,Infant
0.335,0.08,0.183,Infant
0.35,0.09,0.2055,Infant
0.35,0.07,0.18,Infant
0.36,0.085,0.27,Infant
0.365,0.135,0.24,Infant
0.37,0.14,0.2215,Infant
0.38,0.095,0.1375,Infant
0.385,0.095,0.312,Infant
0.385,0.1,0.2895,Infant
0.395,0.095,0.319,Infant
0.395,0.095,0.304,Infant
0.4,0.1,0.306,Infant
0.41,0.1,0.394,Infant
0.415,0.11,0.3735,Infant
0.425,0.1,0.398,Infant
0.44,0.115,0.501,Infant
0.445,0.1,0.4895,Infant
0.445,0.1,0.378,Infant
0.45,0.13,0.547,Infant
0.475,0.125,0.5465,Infant
0.485,0.105,0.498,Infant
0.205,0.05,0.046,Infant
0.24,0.055,0.0705,Infant
0.24,0.065,0.0665,Infant
0.255,0.05,0.083,Infant
0.255,0.055,0.083,Infant
0.265,0.06,0.092,Infant
0.28,0.075,0.117,Infant
0.295,0.08,0.1625,Infant
0.3,0.08,0.131,Infant
0.3,0.095,0.1385,Infant
0.305,0.07,0.141,Infant
0.315,0.075,0.1485,Infant
0.315,0.07,0.144,Infant
0.32,0.09,0.1575,Infant
0.325,0.075,0.187,Infant
0.33,0.085,0.196,Infant
0.335,0.075,0.1825,Infant
0.335,0.075,0.186,Infant
0.34,0.075,0.1785,Infant
0.34,0.07,0.2225,Infant
0.345,0.1,0.2455,Infant
0.37,0.095,0.249,Infant
0.37,0.095,0.2865,Infant
0.375,0.09,0.215,Infant
0.385,0.08,0.251,Infant
0.41,0.09,0.339,Infant
0.41,0.09,0.3535,Infant
0.41,0.09,0.3335,Infant
0.415,0.09,0.3595,Infant
0.42,0.115,0.376,Infant
0.42,0.1,0.3435,Infant
0.425,0.1,0.382,Infant
0.425,0.1,0.377,Infant
0.43,0.1,0.3645,Infant
0.43,0.09,0.425,Infant
0.435,0.12,0.3995,Infant
0.435,0.115,0.3925,Infant
0.44,0.13,0.4495,Infant
0.44,0.09,0.35,Infant
0.445,0.13,0.4195,Infant
0.45,0.13,0.478,Infant
0.45,0.105,0.4445,Infant
0.45,0.11,0.47,Infant
0.45,0.105,0.447,Infant
0.455,0.125,0.5325,Infant
0.455,0.12,0.497,Infant
0.46,0.1,0.4635,Infant
0.46,0.105,0.449,Infant
0.465,0.115,0.467,Infant
0.465,0.115,0.534,Infant
0.465,0.11,0.4415,Infant
0.5,0.12,0.56,Infant
0.505,0.15,0.685,Infant
0.505,0.125,0.601,Infant
0.51,0.1,0.5785,Infant
0.51,0.135,0.769,Infant
0.185,0.045,0.029,Infant
0.195,0.045,0.0375,Infant
0.195,0.04,0.0325,Infant
0.2,0.04,0.0435,Infant
0.225,0.055,0.059,Infant
0.245,0.065,0.071,Infant
0.25,0.065,0.0685,Infant
0.265,0.055,0.084,Infant
0.275,0.065,0.106,Infant
0.28,0.085,0.1075,Infant
0.285,0.065,0.096,Infant
0.3,0.08,0.1255,Infant
0.315,0.055,0.151,Infant
0.32,0.085,0.1415,Infant
0.34,0.08,0.2015,Infant
0.37,0.1,0.221,Infant
0.375,0.08,0.2345,Infant
0.375,0.1,0.2325,Infant
0.385,0.08,0.2485,Infant
0.4,0.095,0.348,Infant
0.405,0.11,0.32,Infant
0.41,0.1,0.282,Infant
0.41,0.1,0.3245,Infant
0.42,0.105,0.316,Infant
0.42,0.11,0.3625,Infant
0.42,0.095,0.279,Infant
0.425,0.115,0.3685,Infant
0.435,0.11,0.413,Infant
0.435,0.115,0.418,Infant
0.44,0.11,0.3705,Infant
0.445,0.105,0.409,Infant
0.445,0.145,0.434,Infant
0.445,0.11,0.411,Infant
0.45,0.125,0.462,Infant
0.45,0.12,0.4925,Infant
0.45,0.105,0.3715,Infant
0.45,0.1,0.411,Infant
0.45,0.11,0.3685,Infant
0.46,0.115,0.4155,Infant
0.47,0.125,0.4845,Infant
0.475,0.11,0.4565,Infant
0.475,0.1,0.4545,Infant
0.48,0.125,0.6245,Infant
0.5,0.14,0.5495,Infant
0.5,0.12,0.542,Infant
0.5,0.125,0.519,Infant
0.51,0.125,0.6795,Infant
0.51,0.125,0.5575,Infant
0.51,0.115,0.5155,Infant
0.515,0.125,0.6115,Infant
0.52,0.135,0.5395,Infant
0.52,0.125,0.5545,Infant
0.525,0.13,0.6455,Infant
0.525,0.14,0.601,Infant
0.525,0.12,0.608,Infant
0.53,0.125,0.617,Infant
0.535,0.125,0.599,Infant
0.54,0.14,0.6665,Infant
0.57,0.15,0.755,Infant
0.575,0.13,0.805,Infant
0.665,0.17,1.2975,Infant
0.185,0.12,0.4645,Infant
0.245,0.06,0.0765,Infant
0.25,0.065,0.0685,Infant
0.25,0.065,0.0835,Infant
0.275,0.09,0.1125,Infant
0.305,0.065,0.1075,Infant
0.31,0.07,0.1055,Infant
0.315,0.08,0.1375,Infant
0.315,0.07,0.1145,Infant
0.325,0.075,0.139,Infant
0.33,0.095,0.2085,Infant
0.33,0.095,0.1595,Infant
0.335,0.09,0.2015,Infant
0.34,0.09,0.179,Infant
0.345,0.095,0.1945,Infant
0.345,0.085,0.2005,Infant
0.35,0.075,0.215,Infant
0.35,0.09,0.1785,Infant
0.36,0.085,0.196,Infant
0.365,0.085,0.1875,Infant
0.365,0.085,0.196,Infant
0.365,0.085,0.213,Infant
0.37,0.09,0.2445,Infant
0.37,0.085,0.217,Infant
0.375,0.095,0.213,Infant
0.375,0.085,0.2385,Infant
0.375,0.09,0.218,Infant
0.375,0.095,0.2465,Infant
0.375,0.08,0.2025,Infant
0.375,0.085,0.218,Infant
0.38,0.11,0.256,Infant
0.38,0.08,0.2105,Infant
0.385,0.09,0.2615,Infant
0.385,0.085,0.2175,Infant
0.385,0.095,0.302,Infant
0.385,0.09,0.228,Infant
0.39,0.095,0.3265,Infant
0.395,0.105,0.284,Infant
0.395,0.095,0.2725,Infant
0.395,0.1,0.2985,Infant
0.4,0.1,0.2675,Infant
0.405,0.09,0.2645,Infant
0.41,0.11,0.33,Infant
0.42,0.09,0.328,Infant
0.425,0.11,0.3335,Infant
0.425,0.1,0.3055,Infant
0.425,0.09,0.301,Infant
0.43,0,0.428,Infant
0.43,0.095,0.378,Infant
0.435,0.11,0.3685,Infant
0.44,0.12,0.438,Infant
0.45,0.105,0.448,Infant
0.455,0.105,0.4005,Infant
0.455,0.1,0.372,Infant
0.46,0.105,0.466,Infant
0.46,0.105,0.3705,Infant
0.465,0.11,0.346,Infant
0.47,0.1,0.411,Infant
0.47,0.18,0.48,Infant
0.47,0.12,0.393,Infant
0.475,0.1,0.5035,Infant
0.475,0.12,0.441,Infant
0.475,0.11,0.492,Infant
0.48,0.125,0.5435,Infant
0.48,0.115,0.4725,Infant
0.48,0.1,0.461,Infant
0.495,0.12,0.4965,Infant
0.495,0.13,0.5125,Infant
0.5,0.135,0.594,Infant
0.5,0.145,0.5795,Infant
0.5,0.14,0.6615,Infant
0.5,0.125,0.5695,Infant
0.5,0.14,0.6215,Infant
0.505,0.13,0.6015,Infant
0.505,0.12,0.594,Infant
0.505,0.105,0.551,Infant
